EN  RU
Absorb	Поглотить
Enter-cloud	Войти-в-облако
Enter-corrupted	Войти-коррумпировано
Enter-crypt	Войти-в-гробницу
Enter-guest	Войти-как-гость
Enter-member	Войти-как-участник
Entertain	Развлечь
Equip	Надеть
Escape	Сбежать
Escape-event	Событие-побега
Escort	Эскортировать
Evade	Избежать
Evade-event	Событие-уклонения
Events	События
Examine	Осмотреть
Excavate	Раскопать
Exchange	Обменять
Exchange fire cape	Обменять плащ огня
Exit	Выйти
Exit-cave	Покинуть-пещеру
Exit-through	Выйти-через
Exit-through (Kourend)	Выйти-через (Коуренд)
Extinguish	Тушить
Falador Park	Парк Фаладор
Farming Guild	Фермерская гильдия
Feed	Кормить
Feel	Почувствовать
Ferox Enclave	Анклав Ферокс
Ferry	Паром
Fight	Сражаться
Fill	Наполнить
Fill-bucket	Наполнить-ведро
Fill-from	Наполнить-из
Fill-jug	Наполнить-кувшин
Fire	Поджечь
Fire!	Огонь!
Fire-at	Огонь-по
Fish	Ловить рыбу
Fish-In	Ловить-в
Fishing Guild	Рыболовная гильдия
Fix	Починить
Fix-exoskeleton	Починить-экзоскелет
Flip	Перевернуть
Float Canoe	Отплыть на Каноэ
Float Log	Сплавить Бревно
Flush	Промыть
Fly	Лететь
Follow	Следовать
Force	Принудить
Forfeit	Отказаться
Fossil Island	Остров Окаменелостей
Free	Освободить
Friend's house	Дом друга
Fry	Жарить
Fuel	Топливо
Fur Clothing	Меховая одежда
Fur-clothing	Меховая-одежда
Gauntlets	Рукавицы
Gaze-into	Вглядеться
Gear	Экипировка
Get bird	Взять птицу
Get in	Войти
Get job (easy)	Выполнить задание (легко)
Get job (hard)	Выполнить задание (трудно)
Get-Spikes	Взять-шипы
Get-down	Спуститься
Get-log	Взять-бревно
Get-rewards	Получить-награды
Give-Stick	Дать-палку
Give-Sword	Дать-меч
Glade	Полянка
Glider	Планер
Glider-to Gandius	Планер-до Гандиуса
Glider-to Kar-Hewo	Планер-до Кар-Хэво
Glider-to Lemanto Andra	Планер-до Леманто Андра
Glider-to Lemantolly Undri	Планер-до Лемантолли Ундри
Glider-to Ookookolly Undri	Планер-до Укукуолли Ундри
Glider-to Sindarpos	Планер-до Синдарпоса
Glider-to Ta Quir Priw	Планер-до Та Кир Прив
Gloomthorn Trail	Тропа Глумторн
Go-down	Спуститься
Go-inside	Войти-внутрь
Go-through	Пройти-через
Go-up	Подняться
Grab	Схватить
Grab-feather	Взять-перо
Grand Exchange	Великая Биржа
Grapple	Схватиться
Guess-letter	Угадать-букву
Guide	Провести
Hack	Взломать
Haircut	Стрижка
Hammer	Молоток
Hand-in	Сдать
Harpoon	Гарпун
Harvest	Собрать урожай
Heal	Исцелить
Heart	Сердце
Heat-preform	Нагреть-заготовку
Help	Помощь
Hide-behind	Спрятаться-за
Hide-in	Скрыться-внутри
History	История
Hit	Ударить
Hold	Держать
Holiday-items	Праздничные-предметы
Home	Дом
Honour	Честь
Hoop	Обруч
Hurdle	Барьер
Iceberg	Айсберг
Imbue	Наделить силой
Inferno	Инферно
Inflate	Надуть
Info	Информация
Inject	Ввести
Inspect	Осмотреть
Insult	Оскорбить
Interact	Взаимодействовать
Intimidate	Запугать
Investigate	Расследовать
Invoke	Призвать
Island of Stone	Остров Камня
Items	Предметы
Jars	Банки
Jatizso	Ятизсо
Join	Присоединиться
Join Castle Wars	Присоединиться к Войнам Замков
Join-Crew	Вступить-в-команду
Join-Team	Присоединиться-к-команде
Jump	Прыгнуть
Jump off	Прыгнуть вниз
Jump on	Прыгнуть на
Jump to	Перепрыгнуть к
Jump-Down	Спрыгнуть-Вниз
Jump-Over	Перепрыгнуть-Через
Jump-To	Прыгнуть-К
Jump-across	Перепрыгнуть-через
Jump-down	Спрыгнуть-вниз
Jump-from	Прыгнуть-с
Jump-in	Прыгнуть-внутрь
Jump-off	Спрыгнуть
Jump-on	Прыгнуть-на
Jump-onto	Запрыгнуть-на
Jump-over	Перепрыгнуть-через
Jump-through	Прыгнуть-через
Jump-to	Прыгнуть-к
Jump-up	Прыгнуть-вверх
Karamja	Карамджа
Kastori	Кастори
Kick	Пнуть
Kill	Убить
Kill Area	Зона убийства
Kill Bot	Уничтожить бота
Kill-count	Считать-убийства
Kitten	Котёнок
Knock-Out	Нокаутировать
Knock-at	Постучать-в
Land's End	Край Земли
Lap-count	Счёт-кругов
Last-destination	Последний-пункт
Leave	Уйти
Leave Cavern	Покинуть пещеру
Leave Tomb	Покинуть гробницу
Leave platform	Покинуть платформу
Leave-area	Покинуть-область
Leave-tutorial	Покинуть-обучение
Level	Уровень
Lift	Поднять
Light	Зажечь
Listen	Слушать
Listen-at	Слушать-у
Listen-to	Слушать
Lithkren	Литкрен
Load	Загрузить
Locate	Найти
Lock	Запереть
Locking	Запирание
Lockpick	Взломать замок
Locks	Замки
Log-storage	Хранилище бревен
Look	Посмотреть
Look at	Посмотреть на
Look in	Заглянуть внутрь
Look out	Посмотреть наружу
Look-at	Посмотреть-на
Look-in	Посмотреть-внутри
Look-in-all	Посмотреть-всё
Look-inside	Посмотреть-внутрь
Look-into	Вглядеться-в
Look-through	Просмотреть
Look-under	Посмотреть-под
Look-up	Посмотреть-вверх
Loop	Цикл
Loot	Грабить
Lunar	Лунный
Lunar spellbook	Лунная книга заклинаний
Lure	Приманить
Make	Сделать
Make scary noise	Издать страшный звук
Make unfinished potion(s)	Приготовить незавершённое зелье(я)
Make-Canoe	Сделать-Kаноэ
Make-helmet	Сделать-шлем
Make-raft	Сделать-плот
Makeover	Преображение
Manoeuvre-past	Маневрировать-мимо
Mark	Отметить
Mash	Размять
Maxhit Variant	Вариант Mаксхит
Medic	Медик
Melt	Расплавить
Metamorph	Метаморф
Metamorphosis	Метаморфоза
Milk	Доить
Mine	Добывать
Mines	Шахты
Mining Guild	Гильдия Шахтёров
Miscellania	Мисцеллания
Monastery	Монастырь
Move	Переместить
Murder	Убийство
Navigate	Навигировать
Neitiznot	Нейтизнот
Net	Сеть
Nets	Сети
New-maze	Новый-лабиринт
Observe	Наблюдать
Offer-fish	Предложить-рыбу
Open	Открыть
Open (normal)	Открыть (обычно)
Open (private)	Открыть (частный)
Open Adventure Paths	Открыть Пути Приключений
Operate	Работать
Options	Настройки
Other-services	Другие-услуги
Paddle Canoe	Грести Каноэ
Paddle Log	Грести Бревно
Pan	Жарить
Pass	Пройти
Pass (normal)	Пройти (обычно)
Pass (private)	Пройти (частный)
Pass through	Пройти сквозь
Pass-Through	Пройти-Сквозь
Pass-through	Пройти-сквозь
Pass-to	Пройти-к
Pay	Заплатить
Pay (Celastrus tree)	Заплатить (Целаструс дерево)
Pay (Fruit tree)	Заплатить (Фруктовое дерево)
Pay (Redwood tree)	Заплатить (Красное дерево)
Pay (Spirit tree)	Заплатить (Духовое дерево)
Pay (north)	Заплатить (север)
Pay (north-east)	Заплатить (северо-восток)
Pay (north-west)	Заплатить (северо-запад)
Pay (south)	Заплатить (юг)
Pay (south-east)	Заплатить (юго-восток)
Pay (south-west)	Заплатить (юго-запад)
Pay (tree patch)	Заплатить (участок дерева)
Pay-Fare	Оплатить-Проезд
Pay-fare	Оплатить-проезд
Pay-toll(10gp)	Оплатить-сбор (10зм)
Pay-toll(2-Ecto)	Оплатить-сбор (2-Екто)
Pedal	Крутить педали
Peek	Заглянуть
Peek (normal)	Заглянуть (обычно)
Peel	Очистить
Peer-into	Заглянуть-внутрь
Peer-through	Просмотреть-через
Perks	Преимущества
Pet	Питомец
Pick	Собрать
Pick Banana	Сорвать Банан
Pick Nuts	Собрать Орехи
Pick up	Поднять
Pick-Fruit	Сорвать-Фрукт
Pick-Lock	Взломать-Замок
Pick-apple	Сорвать-яблоко
Pick-banana	Сорвать-банан
Pick-coconut	Сорвать-кокос
Pick-dragonfruit	Сорвать-драконий фрукт
Pick-from	Взять-из
Pick-fruit	Сорвать-фрукт
Pick-leaf	Собрать-лист
Pick-lock	Взломать-замок
Pick-lots	Собрать-много
Pick-orange	Сорвать-апельсин
Pick-pineapple	Сорвать-ананас
Pick-pocket	Карманная-кража
Pick-spine	Вырвать-шип
Pick-up	Поднять
Pickle	Мариновать
Picklock	Взломать
Pickpocket	Обокрасть
Pickup	Подбор
Pirate's Cove	Пиратская Бухта
Place	Поместить
Place-cell	Поместить-в-ячейку
Plant	Посадить
Plant-orb	Посадить-сферу
Play	Играть
Play-quietly	Играть-тихо
Play-with	Играть-с
Pluck	Сорвать
Plunder	Разграбить
Poach	Браконьерствовать
Poke	Толкнуть
Pop	Всплыть
Port Piscarilius	Порт Пискарилиус
Port Sarim	Порт Сарим
Potions	Зелья
Pour	Налить
Power-up	Включить-питание
Pray	Молиться
Pray-at	Помолиться-у
Preach	Проповедовать
Preen	Чистить
Preferences	Настройки
Prepare-fish	Подготовить-рыбу
Press	Нажать
Prices	Цены
Private	Приватный
Proceed	Продолжить
Prod	Подтолкнуть
Prospect	Перспектировать
Prune	Обрезать
Prune-back	Обрезать-назад
Prune-sides	Обрезать-стороны
Prune-top	Обрезать-верх
Pull	Тянуть
Pull-down	Тянуть-вниз
Pull-spade	Тянуть-лопату
Pump	Насос
Purchase Amulet	Купить Амулет
Push	Толкнуть
Push-against	Толкнуть-против
Push-through	Протолкнуть
Push-up	Отжиматься
Put-inside	Положить-внутрь
Put-ore-on	Положить-руду-на
Quench-preform	Закалить-заготовку
Question	Опросить
Quick Pass	Быстрый-Проход
Quick-Board	Быстрая-Посадка
Quick-Enter	Быстрый-Вход
Quick-Exit	Быстрый-Выход
Quick-Pass	Быстрый-Проход
Quick-Pay(100)	Быстрая-Оплата (100)
Quick-Travel	Быстрое-Перемещение
Quick-Use	Быстрое-использование
Quick-board	Быстрая-посадка
Quick-climb	Быстрый-подъём
Quick-enter	Быстрый-вход
Quick-escape	Быстрое-спасение
Quick-exit	Быстрый-выход
Quick-falcon	Быстрый-сокол
Quick-leave	Быстрый-уход
Quick-lock	Быстрая-блокировка
Quick-open	Быстро-открыть
Quick-pass	Быстрый-проход
Quick-start	Быстрый-старт
Quick-travel	Быстрое-перемещение
Quick-use	Быстрое-использование
Quick-withdraw	Быстрое-снятие
Rake	Сгрести
Ranging Guild	Гильдия Стрелков
Rank	Ранг
Ransack	Ограбить
Re-light	Заново-зажечь
Reach	Достичь
Read	Прочитать
Read (Awakened)	Прочитать (Пробуждённое)
Read-tag	Прочитать-метку
Rebalance	Перебалансировать
Recharge-jewellery	Зарядить-украшение
Recharge-whistle	Зарядить-свисток
Recoil settings	Настройки отдачи
Redecorate	Редекорировать
Redeem	Обменять
Redeem-code	Активировать-код
Refine	Очистить
Refuel	Дозаправить
Reinforce	Укрепить
Release	Выпустить
Release-bees	Выпустить-пчёл
Rellekka	Реллека
Relocate	Переместить
Reminisce	Вспомнить
Remove	Снять
Remove PvP Protection	Убрать защиту PvP
Remove board advert	Удалить объявление на доске
Remove-Bone	Удалить-Кость
Remove-Pot	Удалить-Горшок
Remove-banner	Удалить-баннер
Remove-coal	Удалить-уголь
Remove-decorations	Удалить-украшения
Remove-outfit	Удалить-костюм
Remove-room	Удалить-комнату
Remove-trophy	Удалить-трофей
Repair	Ремонтировать
Repairs	Ремонт
Request-supplies	Запросить-припасы
Reset	Сбросить
Reset-room	Сбросить-комнату
Reset-time	Сбросить-время
Reset-wave	Сбросить-волну
Resign	Отказаться
Rest	Отдохнуть
Retrieve	Извлечь
Retrieve-egg	Забрать-яйцо
Return	Вернуть
Return-Home	Вернуться-Домой
Return-to-Burgh	Вернуться-в-Берг
Return-to-Paterdomus	Вернуться-в-Патердомус
Reverse	Развернуть
Revert	Вернуть
Rewards	Награды
Ride	Ездить
Rimmington	Риммингтон
Ring	Кольцо
Ring-Zanaris	Кольцо-Занарис
Ring-bell	Звонить-в-колокол
Ring-configure	Кольцо-настроить
Ring-last-destination (AIP)	Кольцо-последний-пункт (AIP)
Ring-last-destination (AIQ)	Кольцо-последний-пункт (AIQ)
Ring-last-destination (AIR)	Кольцо-последний-пункт (AIR)
Ring-last-destination (AIS)	Кольцо-последний-пункт (AIS)
Ring-last-destination (AJP)	Кольцо-последний-пункт (AJP)
Ring-last-destination (AJQ)	Кольцо-последний-пункт (AJQ)
Ring-last-destination (AJR)	Кольцо-последний-пункт (AJR)
Ring-last-destination (AJS)	Кольцо-последний-пункт (AJS)
Ring-last-destination (AKP)	Кольцо-последний-пункт (AKP)
Ring-last-destination (AKQ)	Кольцо-последний-пункт (AKQ)
Ring-last-destination (AKR)	Кольцо-последний-пункт (AKR)
Ring-last-destination (AKS)	Кольцо-последний-пункт (AKS)
Ring-last-destination (ALP)	Кольцо-последний-пункт (ALP)
Ring-last-destination (ALQ)	Кольцо-последний-пункт (ALQ)
Ring-last-destination (ALR)	Кольцо-последний-пункт (ALR)
Ring-last-destination (ALS)	Кольцо-последний-пункт (ALS)
Ring-last-destination (BIP)	Кольцо-последний-пункт (BIP)
Ring-last-destination (BIQ)	Кольцо-последний-пункт (BIQ)
Ring-last-destination (BIR)	Кольцо-последний-пункт (BIR)
Ring-last-destination (BIS)	Кольцо-последний-пункт (BIS)
Ring-last-destination (BJP)	Кольцо-последний-пункт (BJP)
Ring-last-destination (BJQ)	Кольцо-последний-пункт (BJQ)
Ring-last-destination (BJR)	Кольцо-последний-пункт (BJR)
Ring-last-destination (BJS)	Кольцо-последний-пункт (BJS)
Ring-last-destination (BKP)	Кольцо-последний-пункт (BKP)
Ring-last-destination (BKQ)	Кольцо-последний-пункт (BKQ)
Ring-last-destination (BKR)	Кольцо-последний-пункт (BKR)
Ring-last-destination (BKS)	Кольцо-последний-пункт (BKS)
Ring-last-destination (BLP)	Кольцо-последний-пункт (BLP)
Ring-last-destination (BLQ)	Кольцо-последний-пункт (BLQ)
Ring-last-destination (BLR)	Кольцо-последний-пункт (BLR)
Ring-last-destination (BLS)	Кольцо-последний-пункт (BLS)
Ring-last-destination (CIP)	Кольцо-последний-пункт (CIP)
Ring-last-destination (CIQ)	Кольцо-последний-пункт (CIQ)
Ring-last-destination (CIR)	Кольцо-последний-пункт (CIR)
Ring-last-destination (CIS)	Кольцо-последний-пункт (CIS)
Ring-last-destination (CJP)	Кольцо-последний-пункт (CJP)
Ring-last-destination (CJQ)	Кольцо-последний-пункт (CJQ)
Ring-last-destination (CJR)	Кольцо-последний-пункт (CJR)
Ring-last-destination (CJS)	Кольцо-последний-пункт (CJS)
Ring-last-destination (CKP)	Кольцо-последний-пункт (CKP)
Ring-last-destination (CKQ)	Кольцо-последний-пункт (CKQ)
Ring-last-destination (CKR)	Кольцо-последний-пункт (CKR)
Ring-last-destination (CKS)	Кольцо-последний-пункт (CKS)
Ring-last-destination (CLP)	Кольцо-последний-пункт (CLP)
Ring-last-destination (CLQ)	Кольцо-последний-пункт (CLQ)
Ring-last-destination (CLR)	Кольцо-последний-пункт (CLR)
Ring-last-destination (CLS)	Кольцо-последний-пункт (CLS)
Ring-last-destination (DIP)	Кольцо-последний-пункт (DIP)
Ring-last-destination (DIQ)	Кольцо-последний-пункт (DIQ)
Ring-last-destination (DIR)	Кольцо-последний-пункт (DIR)
Ring-last-destination (DIS)	Кольцо-последний-пункт (DIS)
Ring-last-destination (DJP)	Кольцо-последний-пункт (DJP)
Ring-last-destination (DJQ)	Кольцо-последний-пункт (DJQ)
Ring-last-destination (DJR)	Кольцо-последний-пункт (DJR)
Ring-last-destination (DJS)	Кольцо-последний-пункт (DJS)
Ring-last-destination (DKP)	Кольцо-последний-пункт (DKP)
Ring-last-destination (DKQ)	Кольцо-последний-пункт (DKQ)
Ring-last-destination (DKR)	Кольцо-последний-пункт (DKR)
Ring-last-destination (DKS)	Кольцо-последний-пункт (DKS)
Ring-last-destination (DLP)	Кольцо-последний-пункт (DLP)
Ring-last-destination (DLQ)	Кольцо-последний-пункт (DLQ)
Ring-last-destination (DLR)	Кольцо-последний-пункт (DLR)
Ring-last-destination (DLS)	Кольцо-последний-пункт (DLS)
Roll	Катать
Rotate	Повернуть
Rotate-anticlockwise	Повернуть-против-часовой
Rotate-clockwise	Повернуть-по-часовой
Rub	Тереть
Rummage	Перерыть
Rumour	Слух
Rumour-settings	Настройки-слухов
Sacrifice	Пожертвовать
Sacrifice-fragments	Пожертвовать-фрагменты
Sand	Песок
Say-name	Сказать-имя
Scale	Масштабировать
Scare	Напугать
Scare-away	Отпугнуть
Scatter	Рассыпать
Scoreboard	Табло
Scramble	Перемешать
Scry	Вглядываться
Search	Искать
Search for traps	Искать ловушки
Search-for-traps	Искать-ловушки
Seeds	Семена
Seers' Village	Деревня Ясновидцев
Send-parcel	Отправить-посылку
Serve	Обслуживать
Set Destination	Установить Назначения
Set destination	Установить назначения
Set up	Настроить
Set-difficulty	Установить-сложность
Set-trap	Поставить-ловушку
Set-up	Настроить
Sets	Наборы
Settings	Настройки
Settings/Destroy	Настройки/Удалить
Setup	Настройка
Setups	Настройки
Sew	Шить
Shake	Потрясти
Shape-Canoe	Формировать-каноэ
Shared	Общий
Shave	Побриться
Shear	Стричь
Shoo	Прогнать
Shoo-away	Прогнать-прочь
Shoot	Стрелять
Shoot-at	Стрелять-в
Shop	Магазин
Shout-over	Кричать-через
Shout-to	Крикнуть-кому-то
Show-Goal	Показать-цель
Shut	Закрыть
Sing	Петь
Sing-crystal	Спеть-кристаллу
Sit-On	Сесть-на
Sit-on	Сесть-на
Skin	Снять кожу
Skull	Череп
Slash	Порезать
Slayer	Убийца
Sleep-in	Спать-внутри
Slice	Нарезать
Slide	Скольжение
Small Net	Малая Сеть
Smash	Разбить
Smash-ice	Разбить-лед
Smash-to-bits	Разбить-в-клочья
Smell	Понюхать
Smelt	Переплавить
Smith	Ковать
Smoke	Коптить
Sniff	Обнюхать
Snow	Снег
Sober-Up	Отрезветь
Solo-start	Начать-соло
Spawn Item	Создать предмет
Spectate	Наблюдать
Spellbook	Книга заклинаний
Spin	Крутить
Spin-globe	Вращать-глобус
Squeeze-past	Пройти-мимо
Squeeze-through	Пройти-сквозь
Stamp-out	Вытоптать
Stand-on	Встать-на
Standard	Стандарт
Standard Variant	Стандартный Вариант
Standard spellbook	Стандартная книга заклинаний
Start	Начать
Start-minigame	Начать-мини-игру
Start-wave	Начать-волну
Statistics	Статистика
Stats	Характеристики
Status	Статус
Staves	Посохи
Steal	Украсть
Steal from	Украсть у
Steal-From	Украсть-У
Steal-cowbell	Украсть-коровий-колокольчик
Steal-from	Украсть-у
Step-into	Шагнуть-внутрь
Step-off	Шагнуть-вон
Step-on	Наступить-на
Step-over	Перепрыгнуть
Stock-Up	Пополнить-запас
Store	Хранить
Store-plunder	Сохранить-трофеи
Store-preform	Сохранить-заготовку
Story	История
Strike	Удар
Stroke	Погладить
Study	Изучать
Stun	Оглушить
Suck	Высосать
Summon	Призвать
Supply	Поставлять
Swap	Поменять местами
Swap-options	Поменять-опции
Swim	Плавать
Swim to	Плыть до
Swing	Качаться
Swing Across	Перекатиться Через
Swing across	Перекатиться через
Swing-across	Перекатиться-через
Swing-from	Качаться-с
Swing-on	Качаться-на
Tackle	Отобрать
Tag	Тегнуть
Take	Взять
Take From	Взять У
Take Rake	Взять Грабли
Take Seed Dibber	Взять Садовый Инструмент
Take Spade	Взять Лопату
Take anglerfish	Взять англерфиш
Take down	Снять
Take manta ray	Взять манту
Take pages	Взять страницы
Take tools	Взять инструменты
Take treasure	Взять сокровище
Take-1	Взять-1
Take-10	Взять-10
